composite_primary_key,product_name,code,channel,customers__customer_category,month_num,month_year,units
Product Variant 0231-SKU-004F49D5-Wholesale-March 2026,Product Variant 0231,SKU-004F49D5,Wholesale,Professional - Esthetician,202603,Mar-26,1
Product Variant 0231-SKU-004F49D5-Wholesale-April 2026,Product Variant 0231,SKU-004F49D5,Wholesale,Professional - Esthetician,202604,Apr-26,2
Product Variant 0231-SKU-004F49D5-Wholesale-May 2026,Product Variant 0231,SKU-004F49D5,Wholesale,Professional - Esthetician,202605,May-26,1
Product Variant 0231-SKU-004F49D5-Wholesale-June 2026,Product Variant 0231,SKU-004F49D5,Wholesale,Professional - Esthetician,202606,Jun-26,2
Product Variant 0231-SKU-004F49D5-Wholesale-July 2026,Product Variant 0231,SKU-004F49D5,Wholesale,Professional - Esthetician,202607,Jul-26,1
Product Variant 0231-SKU-004F49D5-Wholesale-August 2026,Product Variant 0231,SKU-004F49D5,Wholesale,Professional - Esthetician,202608,Aug-26,2
Product Variant 0231-SKU-004F49D5-Wholesale-September 2026,Product Variant 0231,SKU-004F49D5,Wholesale,Professional - Esthetician,202609,Sep-26,2
Product Variant 0231-SKU-004F49D5-Wholesale-October 2026,Product Variant 0231,SKU-004F49D5,Wholesale,Professional - Esthetician,202610,Oct-26,2
Product Variant 0231-SKU-004F49D5-Wholesale-November 2026,Product Variant 0231,SKU-004F49D5,Wholesale,Professional - Esthetician,202611,Nov-26,2
Product Variant 0231-SKU-004F49D5-Wholesale-December 2026,Product Variant 0231,SKU-004F49D5,Wholesale,Professional - Esthetician,202612,Dec-26,1
Product Variant 0052-SKU-005A4293-Direct-to-Consumer-March 2026,Product Variant 0052,SKU-005A4293,Direct-to-Consumer,Unknown,202603,Mar-26,27
Product Variant 0052-SKU-005A4293-Direct-to-Consumer-April 2026,Product Variant 0052,SKU-005A4293,Direct-to-Consumer,Unknown,202604,Apr-26,19
Product Variant 0052-SKU-005A4293-Direct-to-Consumer-May 2026,Product Variant 0052,SKU-005A4293,Direct-to-Consumer,Unknown,202605,May-26,19
Product Variant 0052-SKU-005A4293-Direct-to-Consumer-June 2026,Product Variant 0052,SKU-005A4293,Direct-to-Consumer,Unknown,202606,Jun-26,22
Product Variant 0052-SKU-005A4293-Direct-to-Consumer-July 2026,Product Variant 0052,SKU-005A4293,Direct-to-Consumer,Unknown,202607,Jul-26,17
Product Variant 0052-SKU-005A4293-Direct-to-Consumer-August 2026,Product Variant 0052,SKU-005A4293,Direct-to-Consumer,Unknown,202608,Aug-26,21
